,receptor,missing_frame
674,adora2a,at-frame546400
675,adora2a,at-frame548000
676,adora2a,at-frame548600
677,adora2a,at-frame549200
678,adora2a,at-frame551600
679,adora2a,at-frame551800
680,adora2a,at-frame554400
681,adora2a,at-frame554800
682,adora2a,at-frame555600
683,adora2a,at-frame556600
684,adora2a,at-frame557200
685,adora2a,at-frame557400
686,adora2a,at-frame559200
687,adora2a,at-frame559400
688,adora2a,at-frame560000
689,adora2a,at-frame561400
690,adora2a,at-frame562200
691,adora2a,at-frame562600
692,adora2a,at-frame562800
693,adora2a,at-frame564000
694,adora2a,at-frame564400
695,adora2a,at-frame565600
696,adora2a,at-frame566200
697,adora2a,at-frame567000
698,adora2a,at-frame567200
699,adora2a,at-frame567800
700,adora2a,at-frame568000
701,adora2a,at-frame568600
702,adora2a,at-frame569200
703,adora2a,at-frame569600
704,adora2a,at-frame570600
705,adora2a,at-frame571000
706,adora2a,at-frame572800
707,adora2a,at-frame573000
708,adora2a,at-frame573800
709,adora2a,at-frame574400
710,adora2a,at-frame574800
711,adora2a,at-frame575000
712,adora2a,at-frame575200
713,adora2a,at-frame575400
714,adora2a,at-frame575600
715,adora2a,at-frame575800
716,adora2a,at-frame576200
717,adora2a,at-frame576400
718,adora2a,at-frame577200
719,adora2a,at-frame577400
720,adora2a,at-frame578600
721,adora2a,at-frame578800
722,adora2a,at-frame579600
723,adora2a,at-frame580800
724,adora2a,at-frame581600
725,adora2a,at-frame583400
726,adora2a,at-frame584600
727,adora2a,at-frame585000
728,adora2a,at-frame585800
729,adora2a,at-frame586200
730,adora2a,at-frame587000
731,adora2a,at-frame587600
732,adora2a,at-frame587800
733,adora2a,at-frame590000
734,adora2a,at-frame590200
735,adora2a,at-frame591400
736,adora2a,at-frame592600
737,adora2a,at-frame592800
738,adora2a,at-frame594400
739,adora2a,at-frame594800
740,adora2a,at-frame595000
741,adora2a,at-frame595200
742,adora2a,at-frame595800
743,adora2a,at-frame596800
744,adora2a,at-frame597200
745,adora2a,at-frame598800
746,adrb2,at-frame1000
747,adrb2,at-frame2600
748,adrb2,at-frame8000
749,adrb2,at-frame10600
750,adrb2,at-frame12400
751,adrb2,at-frame13200
752,adrb2,at-frame14600
753,adrb2,at-frame16000
754,adrb2,at-frame16200
755,adrb2,at-frame17400
756,adrb2,at-frame17800
757,adrb2,at-frame20000
758,adrb2,at-frame20200
759,adrb2,at-frame20600
760,adrb2,at-frame21600
761,adrb2,at-frame22200
762,adrb2,at-frame24400
763,adrb2,at-frame26400
764,adrb2,at-frame27200
765,adrb2,at-frame28200
766,adrb2,at-frame30600
767,adrb2,at-frame30800
768,adrb2,at-frame31800
769,adrb2,at-frame32000
770,adrb2,at-frame33800
771,adrb2,at-frame34000
772,adrb2,at-frame34200
773,adrb2,at-frame34400
774,adrb2,at-frame34600
775,adrb2,at-frame35000
776,adrb2,at-frame35200
777,adrb2,at-frame35600
778,adrb2,at-frame40800
779,adrb2,at-frame41200
780,adrb2,at-frame43400
781,adrb2,at-frame44000
782,adrb2,at-frame45400
783,adrb2,at-frame45600
784,adrb2,at-frame45800
785,adrb2,at-frame46000
786,adrb2,at-frame48400
787,adrb2,at-frame49200
788,adrb2,at-frame49400
789,adrb2,at-frame50800
790,adrb2,at-frame51000
791,adrb2,at-frame51800
792,adrb2,at-frame52600
793,adrb2,at-frame53000
794,adrb2,at-frame53400
795,adrb2,at-frame54000
796,adrb2,at-frame54200
797,adrb2,at-frame54800
798,adrb2,at-frame56400
799,adrb2,at-frame56600
800,adrb2,at-frame57800
801,adrb2,at-frame60000
802,adrb2,at-frame60200
803,adrb2,at-frame60400
804,adrb2,at-frame60800
805,adrb2,at-frame61000
806,adrb2,at-frame61200
807,adrb2,at-frame62200
808,adrb2,at-frame63000
809,adrb2,at-frame63400
810,adrb2,at-frame64200
811,adrb2,at-frame66000
812,adrb2,at-frame67000
813,adrb2,at-frame67200
814,adrb2,at-frame68200
815,adrb2,at-frame68400
816,adrb2,at-frame68800
817,adrb2,at-frame69200
818,adrb2,at-frame69400
819,adrb2,at-frame69600
820,adrb2,at-frame70000
