,f_name,k,inds,frame_number
45,center of mass,7,[2636 1679 1350 2879  154  509 1007],"[527000, 335600, 269800, 575600, 30600, 101600, 201200]"
46,center of mass,8,[1679 1350 1007  632 2636  303   69 2879],"[335600, 269800, 201200, 126200, 527000, 60400, 13600, 575600]"
47,center of mass,9,[2636 1679 1209  632  303  985 1966   69 2879],"[527000, 335600, 241600, 126200, 60400, 196800, 393000, 13600, 575600]"
48,center of mass,10,[2636  303  891 1759 2899  632 1449 1101   69 1966],"[527000, 60400, 178000, 351600, 579600, 126200, 289600, 220000, 13600, 393000]"
49,center of mass,11,[1416  632 1679 ... 1966 2879  429],"[283000, 126200, 335600, 56800, 178000, 527000, 220400, 13600, 393000, 575600, 85600]"
50,center of mass,12,[ 429 1416 1759 ...  285 1603  891],"[85600, 283000, 351600, 393000, 13600, 126200, 220400, 579600, 527000, 56800, 320400, 178000]"
51,center of mass,13,[1416 2147  632 ...  891  285 1759],"[283000, 429200, 126200, 13600, 85600, 320400, 527000, 220400, 579600, 393200, 178000, 56800, 351600]"
52,center of mass,14,[1966 2277 2636 ... 2147 1815  285],"[393000, 455200, 527000, 85600, 320400, 178000, 126200, 283000, 13600, 579600, 220000, 429200, 362800, 56800]"
53,center of mass,15,[ 685 1815 1416 ...  285 1603 2277],"[136800, 362800, 283000, 73800, 178000, 13600, 579600, 527000, 393000, 220000, 429200, 113600, 56800, 320400, 455200]"
54,center of mass,16,[2747 1603  569 ... 2563  370 1966],"[549200, 320400, 113600, 13600, 429200, 583000, 220400, 283000, 178000, 455200, 136800, 56800, 362800, 512400, 73800, 393000]"
55,center of mass,17,[1815  685 2747 ...  891  569 1603],"[362800, 136800, 549200, 27800, 220000, 283000, 455200, 73800, 583000, 512400, 429200, 393000, 56800, 8200, 178000, 113600, 320400]"
56,center of mass,18,[2147  285  891 ... 1041  685  108],"[429200, 56800, 178000, 362800, 73800, 556000, 113600, 233000, 283000, 5400, 455200, 320400, 511800, 583000, 393000, 208000, 136800, 21400]"
57,center of mass,19,[ 108 2277 1041 ...  370 2931 1166],"[21400, 455200, 208000, 429200, 283000, 56800, 568800, 136800, 512400, 393000, 113600, 178000, 362800, 5400, 320400, 549600, 73800, 586000, 233000]"
58,center of mass,20,[1966 1603 2147 ... 1166  100  948],"[393000, 320400, 429200, 163800, 60000, 512400, 583000, 213200, 113600, 283000, 136800, 362800, 36600, 455200, 85600, 549200, 7600, 233000, 19800, 189400]"
59,center of mass,21,[ 569 2563 1815 ...   39  735 2749],"[113600, 512400, 362800, 60000, 178000, 283000, 393000, 568800, 455200, 19800, 233000, 124600, 320400, 429200, 85600, 36600, 589200, 208000, 7600, 146800, 549600]"
60,center of mass,22,[1966 1603 2277 ...  100 2685 1155],"[393000, 320400, 455200, 113600, 277000, 208000, 7600, 60000, 512400, 558000, 136800, 178000, 574400, 85600, 36600, 362800, 429200, 589200, 244800, 19800, 536800, 230800]"
61,center of mass,23,[1067 2799 1654 ... 1535 2685 2350],"[213200, 559600, 330600, 62200, 283000, 113600, 27800, 425600, 163800, 583000, 512400, 136800, 393000, 8200, 362800, 444000, 36600, 85600, 233000, 189400, 306800, 536800, 469800]"
62,center of mass,24,[1416 1654 2354 ... 2791  140  429],"[283000, 330600, 470600, 113600, 178000, 36600, 8200, 393000, 589200, 512400, 62200, 208000, 429200, 362800, 124600, 306800, 536800, 574400, 451400, 233000, 146800, 558000, 27800, 85600]"
63,center of mass,25,[1535 2563 1927 ... 2685 1709 2350],"[306800, 512400, 385200, 36600, 189400, 136800, 583000, 85600, 447800, 19800, 283000, 368600, 233000, 429200, 213200, 7600, 113600, 559600, 163800, 60000, 330600, 405600, 536800, 341600, 469800]"
64,center of mass,26,[ 820 1709  569 ... 1844   96 2217],"[163800, 341600, 113600, 559600, 244800, 36600, 393000, 7600, 213200, 583000, 330600, 536800, 85600, 425600, 469800, 136800, 230800, 306800, 28800, 189400, 277000, 67600, 512400, 368600, 19000, 443200]"
65,center of mass,27,[ 685 1166 2685 ... 1709 2947   98],"[136800, 233000, 536800, 368600, 163800, 31600, 574400, 213200, 451400, 113600, 405600, 7600, 62200, 330600, 385200, 470600, 85600, 512400, 36600, 306800, 558000, 429200, 189400, 283000, 341600, 589200, 19400]"
66,center of mass,28,[2947  303 2147 ...  624  474 1386],"[589200, 60400, 429200, 320400, 189400, 536800, 146800, 244800, 5400, 36600, 398800, 340200, 512400, 113600, 230800, 73800, 163800, 368600, 21400, 451400, 385200, 470600, 213200, 574400, 559600, 124600, 94600, 277000]"
67,center of mass,29,[ 100 1603 2563 ... 2221 1844 2947],"[19800, 320400, 512400, 244800, 405600, 80400, 163800, 469800, 574400, 146800, 36600, 525400, 429200, 213200, 340200, 113600, 385200, 277000, 230800, 5400, 60000, 536800, 189400, 124600, 559000, 92800, 444000, 368600, 589200]"
68,center of mass,30,[ 820 1654  312 ... 1225  159 1535],"[163800, 330600, 62200, 536800, 136800, 341600, 405600, 589200, 213200, 7600, 111600, 277000, 36600, 525400, 19400, 429200, 230800, 385200, 512400, 470600, 94600, 73800, 368600, 558000, 574400, 189400, 451400, 244800, 31600, 306800]"
69,center of mass,31,[ 569 1844 2381 ... 1318  735 2873],"[113600, 368600, 476000, 21400, 242400, 589200, 163800, 393000, 536800, 5400, 211400, 124600, 94600, 304600, 284800, 425600, 36600, 341600, 73800, 60400, 455200, 189400, 330800, 230800, 512400, 317000, 443200, 558000, 263400, 146800, 574400]"
