,f_name,k,inds,frame_number
43,center of mass,5,[ 937 2809 1678  278 1400],"[187200, 561600, 335400, 55400, 279800]"
44,center of mass,6,[ 931  344 1668 2662 1400 1114],"[186000, 68600, 333400, 532200, 279800, 222600]"
45,center of mass,7,[1114 1400  344 2662 1678 2888  931],"[222600, 279800, 68600, 532200, 335400, 577400, 186000]"
46,center of mass,8,[1692  344 1114  931 2662 2888 1241 1974],"[338200, 68600, 222600, 186000, 532200, 577400, 248000, 394600]"
47,center of mass,9,[ 931 1720 1380  344 1114 2888 1604 1974 2662],"[186000, 343800, 275800, 68600, 222600, 577400, 320600, 394600, 532200]"
48,center of mass,10,[1720  789  618 1974 2888 1380 1604 1114 2662   76],"[343800, 157600, 123400, 394600, 577400, 275800, 320600, 222600, 532200, 15000]"
49,center of mass,11,[  76 2142 1604 ... 2888  710 1380],"[15000, 428200, 320600, 157600, 222600, 532200, 343800, 96800, 577400, 141800, 275800]"
50,center of mass,12,[ 485 1604 1380 ... 1974   76  710],"[96800, 320600, 275800, 354200, 532200, 157600, 480000, 222600, 577400, 394600, 15000, 141800]"
51,center of mass,13,[1772   76 1978 ...  710 2175 2401],"[354200, 15000, 395400, 320600, 157600, 500200, 275800, 222600, 577400, 96800, 141800, 434800, 480000]"
52,center of mass,14,[2502   41  789 ... 1978 2401  136],"[500200, 8000, 157600, 275800, 320600, 577400, 354200, 96800, 222600, 434800, 141800, 395400, 480000, 27000]"
53,center of mass,15,[ 153 1957  710 ... 2175   41 2789],"[30400, 391200, 141800, 480000, 320600, 222600, 157600, 497200, 96800, 577400, 275800, 354200, 434800, 8000, 557600]"
54,center of mass,16,[1772  560  789 ... 1957 2789  136],"[354200, 111800, 157600, 497200, 275800, 480000, 320600, 85600, 222600, 434800, 577400, 8000, 141800, 391200, 557600, 27000]"
55,center of mass,17,[2735 1604  485 ... 2350  710  153],"[546800, 320600, 96800, 222600, 275800, 577400, 447600, 354200, 434800, 497400, 391200, 157600, 557600, 8000, 469800, 141800, 30400]"
56,center of mass,18,[1380   41 2789 ... 1957  905 2175],"[275800, 8000, 557600, 222600, 354200, 480000, 546800, 577400, 174800, 96800, 300200, 141800, 497400, 30400, 328600, 391200, 180800, 434800]"
57,center of mass,19,[ 905 2487   41 ... 2789 2876 1772],"[180800, 497200, 8000, 469800, 275800, 583200, 320600, 434800, 141800, 27000, 203600, 222600, 447600, 157800, 391200, 96800, 557600, 575000, 354200]"
58,center of mass,20,[ 710 1380 2350 ...  136 2175  485],"[141800, 275800, 469800, 55400, 565800, 174800, 222600, 354200, 46400, 391200, 300200, 497200, 447600, 180800, 557600, 583200, 328600, 27000, 434800, 96800]"
59,center of mass,21,[1380  136 1644 ...  233 1146 2735],"[275800, 27000, 328600, 497400, 96800, 174800, 217200, 480000, 434800, 583200, 141800, 557600, 391200, 354200, 180800, 300200, 565800, 55400, 46400, 229000, 546800]"
60,center of mass,22,[2735  485 1730 ... 2350 2175 1875],"[546800, 96800, 345800, 391200, 217200, 275800, 174800, 565800, 46400, 141800, 320600, 27000, 447600, 557600, 583200, 51200, 180800, 229000, 497400, 469800, 434800, 374800]"
61,center of mass,23,[2175 1380 2888 ... 2350  308 1087],"[434800, 275800, 577400, 83400, 174800, 231400, 557600, 141800, 339200, 374800, 546800, 111800, 391200, 27000, 300200, 180800, 46600, 447600, 320600, 497400, 469800, 61400, 217200]"
