traj_ind,file_name,file_index
370,at-frame76600_noH.pdb,76600
371,at-frame76800_noH.pdb,76800
372,at-frame77000_noH.pdb,77000
373,at-frame77200_noH.pdb,77200
374,at-frame77400_noH.pdb,77400
375,at-frame77600_noH.pdb,77600
376,at-frame77800_noH.pdb,77800
377,at-frame78000_noH.pdb,78000
378,at-frame78200_noH.pdb,78200
379,at-frame78400_noH.pdb,78400
380,at-frame78600_noH.pdb,78600
381,at-frame78800_noH.pdb,78800
382,at-frame79000_noH.pdb,79000
383,at-frame79200_noH.pdb,79200
384,at-frame79400_noH.pdb,79400
385,at-frame79600_noH.pdb,79600
386,at-frame79800_noH.pdb,79800
387,at-frame80000_noH.pdb,80000
388,at-frame80200_noH.pdb,80200
389,at-frame80400_noH.pdb,80400
390,at-frame80600_noH.pdb,80600
391,at-frame80800_noH.pdb,80800
392,at-frame81000_noH.pdb,81000
393,at-frame81200_noH.pdb,81200
394,at-frame81400_noH.pdb,81400
395,at-frame81600_noH.pdb,81600
396,at-frame81800_noH.pdb,81800
397,at-frame82000_noH.pdb,82000
398,at-frame82200_noH.pdb,82200
399,at-frame82400_noH.pdb,82400
400,at-frame82600_noH.pdb,82600
401,at-frame82800_noH.pdb,82800
402,at-frame83000_noH.pdb,83000
403,at-frame83200_noH.pdb,83200
404,at-frame83400_noH.pdb,83400
405,at-frame83600_noH.pdb,83600
406,at-frame84000_noH.pdb,84000
407,at-frame84200_noH.pdb,84200
408,at-frame84400_noH.pdb,84400
409,at-frame84600_noH.pdb,84600
410,at-frame84800_noH.pdb,84800
411,at-frame85200_noH.pdb,85200
412,at-frame85400_noH.pdb,85400
413,at-frame85600_noH.pdb,85600
414,at-frame85800_noH.pdb,85800
415,at-frame86000_noH.pdb,86000
416,at-frame86200_noH.pdb,86200
417,at-frame86400_noH.pdb,86400
418,at-frame86600_noH.pdb,86600
419,at-frame86800_noH.pdb,86800
420,at-frame87000_noH.pdb,87000
421,at-frame87200_noH.pdb,87200
422,at-frame87400_noH.pdb,87400
423,at-frame87600_noH.pdb,87600
424,at-frame87800_noH.pdb,87800
425,at-frame88000_noH.pdb,88000
426,at-frame88200_noH.pdb,88200
427,at-frame88400_noH.pdb,88400
428,at-frame88600_noH.pdb,88600
429,at-frame88800_noH.pdb,88800
430,at-frame89000_noH.pdb,89000
431,at-frame89200_noH.pdb,89200
432,at-frame89400_noH.pdb,89400
433,at-frame89600_noH.pdb,89600
434,at-frame89800_noH.pdb,89800
435,at-frame90000_noH.pdb,90000
436,at-frame90200_noH.pdb,90200
437,at-frame90400_noH.pdb,90400
438,at-frame90600_noH.pdb,90600
439,at-frame91000_noH.pdb,91000
440,at-frame91200_noH.pdb,91200
441,at-frame91400_noH.pdb,91400
442,at-frame91600_noH.pdb,91600
443,at-frame91800_noH.pdb,91800
444,at-frame92000_noH.pdb,92000
445,at-frame92200_noH.pdb,92200
446,at-frame92400_noH.pdb,92400
447,at-frame92600_noH.pdb,92600
448,at-frame92800_noH.pdb,92800
449,at-frame93000_noH.pdb,93000
450,at-frame93200_noH.pdb,93200
451,at-frame93400_noH.pdb,93400
452,at-frame93600_noH.pdb,93600
453,at-frame93800_noH.pdb,93800
454,at-frame94000_noH.pdb,94000
455,at-frame94200_noH.pdb,94200
456,at-frame94400_noH.pdb,94400
457,at-frame94600_noH.pdb,94600
458,at-frame94800_noH.pdb,94800
459,at-frame95000_noH.pdb,95000
460,at-frame95400_noH.pdb,95400
461,at-frame95600_noH.pdb,95600
462,at-frame96000_noH.pdb,96000
463,at-frame96200_noH.pdb,96200
464,at-frame96400_noH.pdb,96400
465,at-frame96600_noH.pdb,96600
466,at-frame96800_noH.pdb,96800
467,at-frame97000_noH.pdb,97000
468,at-frame97200_noH.pdb,97200
469,at-frame97800_noH.pdb,97800
470,at-frame98000_noH.pdb,98000
471,at-frame98200_noH.pdb,98200
472,at-frame98400_noH.pdb,98400
473,at-frame98600_noH.pdb,98600
474,at-frame98800_noH.pdb,98800
475,at-frame99000_noH.pdb,99000
476,at-frame99200_noH.pdb,99200
477,at-frame99400_noH.pdb,99400
478,at-frame99600_noH.pdb,99600
479,at-frame99800_noH.pdb,99800
480,at-frame100000_noH.pdb,100000
481,at-frame100400_noH.pdb,100400
482,at-frame100800_noH.pdb,100800
483,at-frame101000_noH.pdb,101000
484,at-frame101200_noH.pdb,101200
485,at-frame101400_noH.pdb,101400
486,at-frame101600_noH.pdb,101600
487,at-frame101800_noH.pdb,101800
488,at-frame102000_noH.pdb,102000
489,at-frame102200_noH.pdb,102200
490,at-frame102400_noH.pdb,102400
491,at-frame102600_noH.pdb,102600
492,at-frame102800_noH.pdb,102800
493,at-frame103200_noH.pdb,103200
494,at-frame103400_noH.pdb,103400
495,at-frame103600_noH.pdb,103600
496,at-frame103800_noH.pdb,103800
497,at-frame104000_noH.pdb,104000
498,at-frame104200_noH.pdb,104200
499,at-frame104400_noH.pdb,104400
500,at-frame104600_noH.pdb,104600
501,at-frame104800_noH.pdb,104800
502,at-frame105000_noH.pdb,105000
503,at-frame105200_noH.pdb,105200
504,at-frame105400_noH.pdb,105400
505,at-frame105600_noH.pdb,105600
506,at-frame105800_noH.pdb,105800
507,at-frame106000_noH.pdb,106000
508,at-frame106200_noH.pdb,106200
509,at-frame106400_noH.pdb,106400
510,at-frame106600_noH.pdb,106600
511,at-frame106800_noH.pdb,106800
512,at-frame107000_noH.pdb,107000
513,at-frame107200_noH.pdb,107200
514,at-frame107400_noH.pdb,107400
515,at-frame107600_noH.pdb,107600
516,at-frame107800_noH.pdb,107800
517,at-frame108000_noH.pdb,108000
518,at-frame108200_noH.pdb,108200
519,at-frame108400_noH.pdb,108400
520,at-frame108600_noH.pdb,108600
521,at-frame108800_noH.pdb,108800
522,at-frame109000_noH.pdb,109000
523,at-frame109200_noH.pdb,109200
524,at-frame109400_noH.pdb,109400
525,at-frame109600_noH.pdb,109600
526,at-frame109800_noH.pdb,109800
527,at-frame110000_noH.pdb,110000
528,at-frame110200_noH.pdb,110200
529,at-frame110400_noH.pdb,110400
530,at-frame110600_noH.pdb,110600
531,at-frame110800_noH.pdb,110800
532,at-frame111000_noH.pdb,111000
533,at-frame111200_noH.pdb,111200
534,at-frame111400_noH.pdb,111400
535,at-frame111600_noH.pdb,111600
536,at-frame111800_noH.pdb,111800
